یہودیو,yahodiyo
ڈراؤٕ,drao
زرد,zard
وما,wama
وکیلہو,waqeelho
وعدہٴ,waada
وصیتیں,waseetatain
وحیوں,wahion
والاکر,walakar
واقعہو,waqaho
وارثہو,warasaho
واپسکر,wapiskar
ہایوں,hayoon
ہانکیں,hankain
نیکوں,naikoon
نیستکر,naistko
نیچاکر,neechakar
گھیرنے,ghairnay
نہہو,nahho
نہکر,nahkar
نکوکاروں,nakokaroon
نکوکار,nakokaar
نکوئی,nakoi
نکاحکر,nikahkar
نصرانیت,nasraniat
نشایوں,nishayoon
نچوڑیں,nichorain
نجاستوں,nijaston
نِتھری,nithri
نتھری,nithri
نبیذ,nabeez
نباہیں,nibahain
نباہا,nibaha
نامہٴ,naama
ناقض,naaqiz
ناشناسا,nashinasa
نادانوں,nadanoon
میووں,maiwon
میراکر,mera kar
میدانکر,maidaankar
موتیں,motain
مہروالا,mehar wala
منگتا,mangta
منفعتیں,manfatain
منڈاتے,mundatay
ملیو,milio
ملونی,milwani
ملکتا,milakta
ملالو,milalo
ملادیئے,miladiye
مکرتے,mukartay
مقربوں,muqraboon
مقربان,muqarbaan
مفتری,miftree
گیمجرموں,gaimjarmoon
مغروروں,maghroron
معلومہو,maalomaho
مظلومی,mazloomi
مشتبہکر,mashtbahkr
مسخرگی,mukhargi
مسافری,musafri
مزوں,mazoon
مُردنی,muradni
مددہو,maddaho
مخا,mukha
مچاؤ,machao
متفرقکر,mutafarkar
ماوؤں,maoun
مانگئے,mangne
ماندی,maandi
ماندوں,maandoon
ماموؤں,mamowon
ماپو,mapoo
ماپتا,mapta
لیںجسے,lainjsay
لیاہو,liyahoo
لیاتو,liyatoo
لوںاور,lonawar
لہب,lahab
اہلا,ahlaa
لنا,lana
للچائیں,lalchaien
لگادیتا,lagadeta
لکوں,lakoon
لکھت,lakhat
پشتی,lashkaryoon
لدنی,ladni
لچے,lachay
لپیٹیں,lapaitain
لپیٹتا,lapaitta
لازمکر,lazimkar
ڈراتی,draati
کیاری,kiyaari
پھایا,phaya
دُوں,doon
لادھرے,ladhray
جھٹلانا,jhutlana
گواہہو,guwahho
گواه,gawah
گہلے,gahlay
گھیرلیے,ghairliye
مقیم,muqeem
گھٹاتے,ghatatay
گھٹاتی,ghatati
گھال,ghaal
گندیوں,ghandyon
گندوں,ghandoon
گمراہو,ghumraho
گڑھت,gharaht
گڑگڑاتے,ghirghratay
گڑگڑائے,ghrghraye
گڑگڑائیں,ghirghraen
گرداگرد,ghirdaghird
گرادیے,ghiradye
گٹوں,ghatoon
گایہ,ghayah
بیبیو,bibion
گانگاہ,ghaanghah
گانٹھتا,ghanthta
گافرعون,gh firoon
گاسوا,ga siwa
گاتم,ga tum
گابھے,ga bhay
گابھنی,ga bhni
گابھا,ga bha
گابھ,ga bh
کیونکرہو,kyon kar ho
کینڈے,kainday
کیساہو,kaisa ho
گھرانے,gharanay
کونچا,koncha
کوزوں,kozon
کہنیوں,kohnion
نیاؤ,nayao
کھیٰعص,kaf ha ya aeen suwad
کھپائیں,khapaen
کھپا,khapa
کنیزیں,kaneezain
کنیزوں,kaneezoon
کنواریاں,kunwanryan
کموادے,kamwaday
کمائیاں,kamyyan
کلیسے,kaleesay
کلاموں,kalamoon
کلالہ,kalalah
کفرستان,kufristaan
کڑوڑے,karooray
کڑوڑا,kaoora
کروٹوں,karwatoon
کراوے,karaway
کجاوے,kajaway
کبہو,kabhoo
کاہن,kahin
کامہو,kamho
کافرنیوں,kafirniyon
قسمکر,qisamkar
قریشیو,qurashyon
قرارآ,qararaa
قبضہٴ,qabza
قائمہو,qaim ho
فضیحت,fazihat
فسادہو,fasad ho
فرماؤ,farmao
فرمانوں,farmano
غرض,garz
پلا,pala
فرماتابے,farmata bay
نحوست,nahosat
فاسقوں,fasiqon
کتراتے,katratay
تب,tab
دانا,dana
ناشکر,na shukar
آملیں,aamilain
جھٹلاتی,jhutlati
نازک,nazuk
شگوفہ,shagoofah
چوپایہ,chopayah
آفتاب,aaftab
ناظر,nazir
درود,durood
غیبوں,ghaiboon
غنیمتیں,ghanimatain
غنیمتوں,ghanimatoon
غنیکر,ghanikar
غرابیں,ghrabain
غداب,ghadab
عورتو,orto
عہدیوں,ahadion
عندالشافعی,andal shafi
عقلیں,aqlain
عزیٰ,azee
عزتہو,izzat ho
طوقہو,tooq ho
طٰهٰ,tuaaa haa
طلبہو,talbahoo
طٰسم,tuaa seen meem
صیت,suaad yaa taa
صریحبے,sareehbay
صبحہو,sabhahoo
صابروں,sabiroon
شریکوں,shareekoon
شراٹے,shiratay
شانیں,shanain
سینت,seenat
سونپتا,soonpta
سوجھیں,soojhain
سوجھنے,soojhnay
بشریت,basharyat
کمزوروں,kamzoryooon
سوجھائی,sojhai
سوالہو,sawal ho
سھتروں,sahtroon
پرزہ,purza
سنگتوں,sangtoon
سلگاتے,sulgatay
خلقت,khalqat
سفارشیوں,sifarshiyon
سزاواروں,sazawaroon
تحفہ,toohfah
سدھالیے,sadhaliye
سدرة,sidrah
سجدہکر,sajdah kar
ستھریوں,sathriyon
ستھریاں,suthriyan
ستھروں,suthroon
ستمگاروں,sitamgaroon
ستمگار,sitamghar
سپردہو,supardho
ساکنوں,sakinon
ساقیوں,saqion
شیشوں,shishon
ساجھے,saajhay
ساتھیو,saathion
ساتھکر,saathkar
زیوروں,zaweroon
پوشیدہ,pooshida
زمانہٴ,zamanah
رینکیں,rainkain
رینکنا,rainkna
ریتے,raitay
رونگٹوں,rongtoon
روندن,roondan
روشیں,roosheen
روزیاں,roozyan
زیر,zair
رسالتیں,rasaltain
رسالتوں,rasaltoon
فخر,fakhar
رچتا,rachta
راه,raah
راندھا,randha
راضیکر,razikar
ڈوبتوں,dobtoon
ڈوبائے,dobaaye
ڈہی,dahi
ڈھونڈھو,dhondho
ڈھانکتا,dhankta
ڈگا,daga
ڈریے,darye
ڈریئے,darye
منحوس,manhoos
ڈراؤ,darao
یبچ,yabch
ذلیلوں,zaleelon
دیووں,dawoon
دیںنصیحت,di naseehat
دیںگی,daingi
دیںکہ,deen kay
دیںعلم,deen ilm
دیںاور,deen or
دیجائیں,day jaen
دیتو,day to
دیتامگر,daita magar
دیاور,di or
دیاہوتا,dya hota
دیاگروہ,diya ghar who
دیاکاٹے,diya kaatay
دیادو,diya do
دوڑائے,doraye
دوزخیوں,dozkhiyon
دورہہو,door hho
دوجو,do jo
گھرہو,ghr ho
دہلانے,dahlanay
دہکاتے,dahkatay
دھونکو,dohnkar
دھوؤ,dahoo
دھنسیں,dhansain
دھنسانا,dhansata
دھنساتا,dhansata
دھنساؤ,dhansao
دُھسّوں,dhassoon
دُھرکے,dharkay
دنہو,danho
دُنبیوں,dunbiyon
دنبیاں,dunbiyan
دُنبی,dunbi
دلاتیاں,dilatyan
دروا,darwa
درگزریں,darguzrain
درگزرو,darguzro
درباریو,darbaryo
دحی,dahi
دتکارے,dutkaray
دبالیے,dabalye
داغیں,dagain
داروغوں,darogon
دائیوں,daieyon
خوشے,khoshay
خوشحالوں,khushhalon
خورجیوں,khorjiuon
پلٹایا,paltaya
خوابیں,khuwabain
سننا,sunna
خطاواروں,khatawaroon
خشککر,khushk kr
خرچو,kharcho
خُرجیوں,kharjiyon
خانقاہیں,khanqahain
خالائیں,khalaien
خالاؤں,khalaoun
خاطریں,khatirain
رنگتوں,rangton
حیائیوں,hayaon
حیائیکو,hayah ko
حیائیکا,hayah ka
حیائیاور,haya or
حیائیاں,hayaan
دیگیں,daigain
حملہکر,hamlah kar
حمایتیہو,himaiti ho
حٰمٓ,ha meem
حکمہو,hukam ho
حسابہو,hissab ho
حرمتوں,hurmatoon
لشکریوں,lashkaryon
حجتکر,hijat kar
حالہو,haalho
حاضرہو,haazir ho
مسکرا,muskura
بالفرض,bilfarz
چوندھیائے,chondhyaye
چومیخا,chomaikha
چوپاؤں,chopaoun
چھیئے,chayye
چھوڑانے,chooranay
بڑھیا,burhya
چھٹپن,chatpan
چھپالیتے,chupalaitay
چھئے,chahay
چنگھاڑنا,chingharna
